symbol,name,exchange,yf_symbol
ADMACH,ADMACH SYSTEMS LIMITED,BSE,ADMACH.BO
ADMANUM,AD-Manum Finance Ltd,BSE,ADMANUM.BO
ADOR,Ador Welding Limited,NSE+BSE,ADOR.NS
ADROITINFO,Adroit Infotech Limited,NSE+BSE,ADROITINFO.NS
ADSL,Allied Digital Services Limited,NSE+BSE,ADSL.NS
ADTECH,ADTECH SYSTEMS LIMITED,BSE,ADTECH.BO
ADVAIT,Advait Energy Transitions Limited,NSE+BSE,ADVAIT.NS
ADVANCE,Advance Agrolife Limited,NSE+BSE,ADVANCE.NS
ADVANIHOTR,Advani Hotels & Resorts (India) Limited,NSE+BSE,ADVANIHOTR.NS
ADVENTHTL,Advent Hotels International Limited,NSE+BSE,ADVENTHTL.NS
ADVENZYMES,Advanced Enzyme Technologies Limited,NSE+BSE,ADVENZYMES.NS
ADVIKCA,Advik Capital Limited,BSE,ADVIKCA.BO
ADVLIFE,Advance Lifestyles Ltd.,BSE,ADVLIFE.BO
ADVMULT,Advance Multitech Ltd.,BSE,ADVMULT.BO
ADVPETR-B,Advance Petrochemicals Ltd.,BSE,ADVPETR-B.BO
AEGISLOG,Aegis Logistics Limited,NSE+BSE,AEGISLOG.NS
AEGISVOPAK,Aegis Vopak Terminals Limited,NSE+BSE,AEGISVOPAK.NS
AEIM,Artificial Electronics Intelligent Material Limited,BSE,AEIM.BO
AEL,Amba Enterprises Ltd.,BSE,AEL.BO
AEONXDIGI,Aeonx Digital Technology Limited,BSE,AEONXDIGI.BO
AEPL,Artemis Electricals and Projects Limited,NSE+BSE,AEPL.NS
AEQUS,Aequs Limited,NSE+BSE,AEQUS.NS
AEROENTER,Aeroflex Enterprises Limited,NSE+BSE,AEROENTER.NS
AEROFLEX,Aeroflex Industries Limited,NSE+BSE,AEROFLEX.NS
AERONEU,Aeroflex Neu Limited,NSE+BSE,AERONEU.NS
AERPACE,Aerpace Industries Limited,BSE,AERPACE.BO
AETHER,Aether Industries Limited,NSE+BSE,AETHER.NS
AFCOM,Afcom Holdings Limited,BSE,AFCOM.BO
AFCONS,Afcons Infrastructure Limited,NSE+BSE,AFCONS.NS
AFEL,A.F. Enterprises Limited,BSE,AFEL.BO
AFFLE,Affle 3i Limited,NSE+BSE,AFFLE.NS
AFFORDABLE,Affordable Robotic & Automation Limited,NSE+BSE,AFFORDABLE.NS
AFIL,Akme Fintrade (India) Limited,NSE+BSE,AFIL.NS
AFSL,Abans Financial Services Limited,NSE+BSE,AFSL.NS
AGARIND,Agarwal Industrial Corporation Limited,NSE+BSE,AGARIND.NS
AGARWAL,AGARWAL FORTUNE INDIA LIMITED,BSE,AGARWAL.BO
AGARWALEYE,Dr. Agarwal's Health Care Limited,NSE+BSE,AGARWALEYE.NS
AGI,AGI Greenpac Limited,NSE+BSE,AGI.NS
AGIIL,Agi Infra Limited,NSE+BSE,AGIIL.NS
AGIOPAPER,Agio Paper & Industries Limited,BSE,AGIOPAPER.BO
AGOL,Ashapuri Gold Ornament Limited,BSE,AGOL.BO
AGRIBIO,AGRIBIO SPIRITS LIMITED,BSE,AGRIBIO.BO
AGRITECH,Agri-Tech (India) Limited,NSE+BSE,AGRITECH.NS
AGROPHOS,Agro Phos India Limited,NSE,AGROPHOS.NS
AGVENTURES,AG VENTURES LIMITED,BSE,AGVENTURES.BO
AHASOLAR,AHASOLAR TECHNOLOGIES LIMITED,BSE,AHASOLAR.BO
AHCL,Anlon Healthcare Limited,NSE+BSE,AHCL.NS
AHLADA,Ahlada Engineers Limited,NSE,AHLADA.NS
AHLEAST,Asian Hotels (East) Limited,NSE+BSE,AHLEAST.NS
AHLUCONT,Ahluwalia Contracts (India) Limited,NSE+BSE,AHLUCONT.NS
AHLWEST,Asian Hotels (West) Limited,NSE+BSE,AHLWEST.NS
AHMDSTE,Ahmedabad Steelcraft Ltd.,BSE,AHMDSTE.BO
AIAENG,AIA Engineering Limited,NSE+BSE,AIAENG.NS
AICHAMP,AI CHAMPDANY INDUSTRIES LIMITED,BSE,AICHAMP.BO
AIIL,Authum Investment & Infrastructure Limited,NSE+BSE,AIIL.NS
AIKPIPES,AIK Pipes and Polymers Limited,BSE,AIKPIPES.BO
AIMCOPEST,Aimco Pesticides Ltd.,BSE,AIMCOPEST.BO
AIML,Alliance Integrated Metaliks Limited,BSE,AIML.BO
AIRAN,Airan Limited,NSE+BSE,AIRAN.NS
AIRFLOA,AIRFLOA RAIL TECHNOLOGY LIMITED,BSE,AIRFLOA.BO
AIROLAM,Airo Lam limited,NSE,AIROLAM.NS
AJANTPHARM,Ajanta Pharma Limited,NSE+BSE,AJANTPHARM.NS
AJANTSOY,Ajanta Soya Limited,BSE,AJANTSOY.BO
AJAXENGG,Ajax Engineering Limited,NSE+BSE,AJAXENGG.NS
AJCJEWEL,AJC Jewel Manufacturers Limited,BSE,AJCJEWEL.BO
AJCON,Ajcon Global Services Ltd.,BSE,AJCON.BO
AJMERA,Ajmera Realty & Infra India Limited,NSE+BSE,AJMERA.NS
AJOONI,Ajooni Biotech Limited,NSE,AJOONI.NS
AJWAFUN,Ajwa Fun World & Resorts Ltd,BSE,AJWAFUN.BO
AKASH,Akash Infra-Projects Limited,NSE,AKASH.NS
AKCAPIT,AK Capital Services Limited,NSE+BSE,AKCAPIT.NS
AKG,Akg Exim Limited,NSE,AKG.NS
AKI,AKI India Limited,NSE+BSE,AKI.NS
AKSHAR,Akshar Spintex Limited,NSE+BSE,AKSHAR.NS
